repository,created_at,updated_at,size,num_stars,num_forks
tensorflow/tensorflow,2015-11-07T01:19:20Z,2025-01-24T16:35:51Z,1125797,187413,74446
huggingface/transformers,2018-10-29T13:56:00Z,2025-01-24T16:18:49Z,270127,137971,27660
pytorch/pytorch,2016-08-13T05:26:41Z,2025-01-24T16:33:36Z,1021307,86151,23183
keras-team/keras,2015-03-28T00:35:42Z,2025-01-24T16:34:19Z,44725,62391,19494
scikit-learn/scikit-learn,2010-08-17T09:43:38Z,2025-01-24T16:34:21Z,167090,60857,25538
tesseract-ocr/tesseract,2014-08-12T18:04:59Z,2025-01-24T16:34:10Z,53535,64041,9648
ageitgey/face_recognition,2017-03-03T21:52:39Z,2025-01-24T16:34:32Z,103959,53993,13536
Developer-Y/cs-video-courses,2016-10-21T17:02:11Z,2025-01-24T16:34:13Z,658,67902,9204
deepfakes/faceswap,2017-12-19T09:44:13Z,2025-01-24T16:34:36Z,203576,52957,13287
aymericdamien/TensorFlow-Examples,2015-11-11T14:21:19Z,2025-01-24T16:34:53Z,10242,43480,14924
microsoft/ML-For-Beginners,2021-03-03T01:34:05Z,2025-01-24T16:34:15Z,227858,70797,14904
binhnguyennus/awesome-scalability,2017-12-27T03:46:40Z,2025-01-24T16:42:11Z,1528,60089,6123
JuliaLang/julia,2011-04-21T07:01:50Z,2025-01-24T16:34:41Z,322041,46244,5527
Avik-Jain/100-Days-Of-ML-Code,2018-07-05T09:11:43Z,2025-01-24T16:34:44Z,10955,46205,10740
d2l-ai/d2l-zh,2017-08-23T04:40:24Z,2025-01-24T16:34:12Z,316965,65299,11202
iperov/DeepFaceLab,2018-06-04T13:10:00Z,2025-01-24T14:50:58Z,848594,16842,157
BVLC/caffe,2013-09-12T18:39:48Z,2025-01-23T11:57:34Z,76170,34189,18652
ultralytics/yolov5,2020-05-18T03:45:11Z,2025-01-24T16:34:39Z,16136,52074,16602
GokuMohandas/Made-With-ML,2018-11-05T03:44:27Z,2025-01-24T16:35:07Z,4001,38054,6024
ZuzooVn/machine-learning-for-software-engineers,2016-10-09T21:20:25Z,2025-01-24T00:06:25Z,471,28291,6210
fengdu78/Coursera-ML-AndrewNg-Notes,2017-11-04T10:04:08Z,2025-01-24T13:30:09Z,684224,32637,10705
google-research/google-research,2018-10-04T18:42:48Z,2025-01-24T15:11:17Z,1139197,34741,7993
CMU-Perceptual-Computing-Lab/openpose,2017-04-24T14:06:31Z,2025-01-24T16:10:55Z,86496,31711,7897
ageron/handson-ml,2016-02-16T19:48:39Z,2025-01-24T13:33:20Z,87255,25263,12908
explosion/spaCy,2014-07-03T15:15:40Z,2025-01-24T13:00:22Z,202858,30722,4434
terryum/awesome-deep-learning-papers,2016-06-03T06:48:30Z,2025-01-24T02:40:04Z,147,25633,4478
donnemartin/data-science-ipython-notebooks,2015-01-23T19:38:29Z,2025-01-24T14:08:13Z,49025,27769,7910
dmlc/xgboost,2014-02-06T17:28:03Z,2025-01-24T14:07:57Z,33028,26517,8740
fastai/fastai,2017-09-09T17:43:36Z,2025-01-24T16:27:35Z,822695,26525,7573
photoprism/photoprism,2018-01-27T12:00:15Z,2025-01-24T15:47:15Z,224562,36180,2005
ray-project/ray,2016-10-25T19:38:30Z,2025-01-24T16:03:16Z,495899,35010,5962
eriklindernoren/ML-From-Scratch,2017-02-05T12:11:23Z,2025-01-24T03:46:39Z,553,24215,4614
AMAI-GmbH/AI-Expert-Roadmap,2020-10-24T21:49:40Z,2025-01-24T16:24:17Z,628,29442,2505
eugeneyan/applied-ml,2020-07-04T18:57:47Z,2025-01-24T16:29:43Z,397,27607,3721
sebastianruder/NLP-progress,2018-06-22T17:43:55Z,2025-01-23T13:33:32Z,1399,22762,3617
TheAlgorithms/C-Plus-Plus,2016-07-16T10:19:45Z,2025-01-24T16:29:17Z,129382,31134,7310
streamlit/streamlit,2019-08-24T00:14:52Z,2025-01-24T16:35:11Z,555939,36863,3174
datawhalechina/pumpkin-book,2018-12-22T05:05:24Z,2025-01-24T14:05:45Z,11136,24323,4763
mozilla/DeepSpeech,2016-06-02T15:04:53Z,2025-01-24T06:20:59Z,50592,25643,3992
Lightning-AI/lightning,2019-03-31T00:45:57Z,2025-01-24T14:57:08Z,132824,28845,3420
lutzroeder/netron,2010-12-26T12:53:43Z,2025-01-24T13:58:35Z,60091,29185,2835
mxgmn/WaveFunctionCollapse,2016-09-30T11:53:17Z,2025-01-24T00:11:32Z,31161,23646,1262
trekhleb/homemade-machine-learning,2018-11-01T04:34:19Z,2025-01-24T13:58:42Z,14466,23264,4078
ChristosChristofidis/awesome-deep-learning,2015-01-02T19:28:35Z,2025-01-24T12:42:47Z,832,24666,6088
academic/awesome-datascience,2014-07-05T07:07:43Z,2025-01-24T16:18:20Z,1412,25607,5974
MLEveryday/100-Days-Of-ML-Code,2018-08-05T13:32:48Z,2025-01-24T12:12:15Z,44918,21351,5498
PaddlePaddle/Paddle,2016-08-15T06:59:08Z,2025-01-24T10:26:16Z,484630,22424,5655
google/mediapipe,2019-06-13T19:16:41Z,2025-01-24T16:09:50Z,602710,28358,5226
slundberg/shap,2016-11-22T19:17:08Z,2025-01-24T14:54:26Z,313215,23285,3323
zergtant/pytorch-handbook,2018-12-03T02:57:04Z,2025-01-24T16:15:16Z,149507,20549,5409
microsoft/CNTK,2015-11-26T09:52:06Z,2025-01-24T07:49:11Z,935217,17540,4272
spmallick/learnopencv,2015-02-17T08:00:51Z,2025-01-24T16:31:24Z,3645081,21530,11650
tensorflow/tfjs,2018-03-05T05:41:02Z,2025-01-24T08:04:03Z,173150,18618,1950
OpenBB-finance/OpenBBTerminal,2020-12-20T10:46:38Z,2025-01-24T16:34:05Z,2333975,35578,3235
amark/gun,2014-07-31T15:52:10Z,2025-01-24T13:14:17Z,33395,18263,1167
jina-ai/jina,2020-02-13T17:04:44Z,2025-01-24T08:22:27Z,1681140,21257,2215
fastai/fastbook,2020-02-28T19:26:47Z,2025-01-24T11:44:37Z,86034,22390,8598
JaidedAI/EasyOCR,2020-03-14T11:46:39Z,2025-01-24T16:09:12Z,161624,25288,3225
zziz/pwc,2018-09-02T12:06:52Z,2025-01-20T20:06:03Z,1643,15402,2478
oxford-cs-deepnlp-2017/lectures,2017-02-06T11:32:46Z,2025-01-22T10:35:39Z,48981,15698,3575
d2l-ai/d2l-en,2018-10-09T01:04:37Z,2025-01-24T15:43:17Z,317904,24690,4459
RasaHQ/rasa,2016-10-14T12:27:49Z,2025-01-24T14:25:55Z,1627886,19263,4678
TheAlgorithms/C,2016-07-16T10:17:03Z,2025-01-24T16:29:04Z,20365,19649,4449
kailashahirwar/cheatsheets-ai,2017-05-24T12:06:56Z,2025-01-24T04:46:32Z,29960,15149,3430
microsoft/LightGBM,2016-08-05T05:45:50Z,2025-01-24T06:56:50Z,23576,16901,3847
huggingface/datasets,2020-03-26T09:23:22Z,2025-01-24T14:19:13Z,89072,19484,2722
microsoft/recommenders,2018-09-19T10:06:07Z,2025-01-24T14:26:45Z,229316,19644,3144
ty4z2008/Qix,2014-04-20T11:03:15Z,2025-01-24T07:16:45Z,2333,14771,4657
afshinea/stanford-cs-229-machine-learning,2018-08-04T23:01:00Z,2025-01-24T14:19:43Z,38339,17863,3986
emilwallner/Screenshot-to-code,2017-10-16T11:41:48Z,2025-01-24T01:48:07Z,51643,16465,1563
keon/awesome-nlp,2015-12-01T11:11:33Z,2025-01-24T15:49:57Z,554,16906,2592
RaRe-Technologies/gensim,2011-02-10T07:43:04Z,2025-01-24T13:00:05Z,106262,15799,4387
bharathgs/Awesome-pytorch-list,2017-03-01T16:58:16Z,2025-01-24T14:36:21Z,888,15606,2814
Unity-Technologies/ml-agents,2017-09-08T21:09:04Z,2025-01-24T16:15:09Z,3023163,17496,4194
virgili0/Virgilio,2019-03-12T18:45:36Z,2025-01-23T19:07:12Z,33930,14014,2488
onnx/onnx,2017-09-07T04:53:45Z,2025-01-24T16:29:39Z,35058,18301,3700
ramitsurana/awesome-kubernetes,2015-10-15T12:14:48Z,2025-01-24T15:33:42Z,6844,15196,2290
aleju/imgaug,2015-07-10T20:31:33Z,2025-01-24T12:17:02Z,28618,14497,2451
horovod/horovod,2017-08-09T19:39:59Z,2025-01-23T09:55:58Z,6951,14342,2247
labmlai/annotated_deep_learning_paper_implementations,2020-08-25T02:29:34Z,2025-01-24T16:34:30Z,153812,58212,5928
mlflow/mlflow,2018-06-05T16:05:58Z,2025-01-24T13:17:04Z,712572,19311,4319
tensorflow/tensor2tensor,2017-06-15T16:57:39Z,2025-01-24T14:42:35Z,17508,15756,3528
NLP-LOVE/ML-NLP,2019-07-05T12:49:53Z,2025-01-24T13:39:40Z,11965,16276,4577
hindupuravinash/the-gan-zoo,2017-04-14T16:45:24Z,2025-01-23T18:04:49Z,2198,14420,2560
gunthercox/ChatterBot,2014-09-28T14:49:00Z,2025-01-24T15:01:31Z,4371,14163,4459
pytorch/vision,2016-11-09T23:11:43Z,2025-01-24T12:47:49Z,1166675,16482,6989
ujjwalkarn/Machine-Learning-Tutorials,2015-09-12T14:51:38Z,2025-01-24T12:45:44Z,9024,15798,3821
EthicalML/awesome-production-machine-learning,2018-08-15T14:28:41Z,2025-01-24T16:33:48Z,2529,17931,2293
flairNLP/flair,2018-06-11T11:04:18Z,2025-01-24T16:42:26Z,266217,14033,2108
microsoft/nni,2018-06-01T05:51:44Z,2025-01-24T08:50:13Z,133124,14103,1820
kubeflow/kubeflow,2017-11-30T18:44:19Z,2025-01-24T11:27:01Z,324158,14571,2443
argoproj/argo-workflows,2017-08-21T18:50:44Z,2025-01-24T15:43:19Z,153733,15284,3234
alex000kim/nsfw_data_scraper,2019-01-11T02:21:40Z,2025-01-24T02:25:57Z,8472,12318,2875
rasbt/python-machine-learning-book,2015-08-07T20:39:29Z,2025-01-24T10:38:53Z,159843,12337,4408
ml-tooling/best-of-ml-python,2020-11-29T19:41:36Z,2025-01-24T16:19:30Z,18863,18933,2608
halfrost/Halfrost-Field,2017-04-02T11:24:18Z,2025-01-24T13:03:25Z,105287,13016,1881
ddbourgin/numpy-ml,2019-04-06T22:29:49Z,2025-01-23T13:28:15Z,10514,15880,3775
davisking/dlib,2014-01-29T00:45:33Z,2025-01-24T08:43:22Z,49996,13718,3389
nltk/nltk,2009-09-07T10:53:58Z,2025-01-24T10:43:36Z,353364,13796,2908
albumentations-team/albumentations,2018-06-06T03:10:50Z,2025-01-24T10:00:13Z,104370,14511,1660
apple/turicreate,2017-12-01T00:42:04Z,2025-01-23T21:32:34Z,320718,11196,1143
donnemartin/awesome-aws,2015-10-12T12:02:47Z,2025-01-24T08:18:16Z,803,12631,1698
janishar/mit-deep-learning-book-pdf,2017-04-07T10:46:50Z,2025-01-24T12:32:58Z,43571,13073,2743
kmario23/deep-learning-drizzle,2018-11-26T01:17:36Z,2025-01-24T15:28:47Z,267,12445,2938
iterative/dvc,2017-03-04T08:16:33Z,2025-01-24T13:34:30Z,20329,14108,1195
zalandoresearch/fashion-mnist,2017-08-25T12:05:15Z,2025-01-24T16:39:07Z,108395,12087,3028
MorvanZhou/tutorials,2016-05-29T13:29:44Z,2025-01-22T04:35:12Z,62652,11988,5707
chiphuyen/stanford-tensorflow-tutorials,2016-11-05T18:21:51Z,2025-01-23T19:08:26Z,14037,10334,4305
mindsdb/mindsdb,2018-08-02T17:56:45Z,2025-01-24T16:29:43Z,254270,27110,4896
jindongwang/transferlearning,2017-04-30T11:32:21Z,2025-01-24T12:41:43Z,37061,13672,3827
esimov/caire,2018-01-08T19:23:04Z,2025-01-23T23:49:19Z,92363,10366,382
extreme-assistant/CVPR2022-Paper-Code-Interpretation,2019-02-26T07:53:48Z,2025-01-23T07:16:50Z,1357,12462,2298
tflearn/tflearn,2016-03-31T12:05:53Z,2025-01-22T12:29:18Z,1589,9617,2411
microsoft/qlib,2020-08-14T06:46:00Z,2025-01-24T16:37:44Z,17504,16093,2737
ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,2021-01-02T12:08:37Z,2025-01-24T16:21:44Z,878,21777,5354
ydataai/pandas-profiling,2016-01-09T23:47:55Z,2025-01-24T06:53:16Z,768591,12666,1687
deepmind/sonnet,2017-04-03T11:34:35Z,2025-01-24T05:28:42Z,16836,9802,1298
amusi/CVPR2022-Papers-with-Code,2020-02-26T06:04:25Z,2025-01-24T14:51:12Z,454,18742,2621
bbfamily/abu,2016-09-19T15:31:53Z,2025-01-24T16:40:16Z,96202,12607,3852
lexfridman/mit-deep-learning,2017-01-08T00:52:01Z,2025-01-24T16:22:03Z,65478,10205,2211
gradio-app/gradio,2018-12-19T08:24:04Z,2025-01-24T15:49:14Z,280251,35472,2676
Hvass-Labs/TensorFlow-Tutorials,2016-06-26T14:43:21Z,2025-01-24T02:27:05Z,67974,9277,4182
rushter/MLAlgorithms,2016-10-05T06:46:45Z,2025-01-22T20:04:17Z,11924,10772,1778
ultralytics/yolov3,2018-08-26T08:57:20Z,2025-01-24T00:02:33Z,10781,10289,3453
NVlabs/instant-ngp,2022-01-05T17:11:30Z,2025-01-24T03:03:51Z,191469,16219,1950
EpistasisLab/tpot,2015-11-03T21:08:40Z,2025-01-22T07:14:05Z,79765,9814,1574
fastai/numerical-linear-algebra,2017-05-16T17:28:12Z,2025-01-24T02:27:04Z,64028,10333,2624
vahidk/EffectiveTensorflow,2017-08-01T06:00:56Z,2025-01-21T12:33:29Z,151,8622,905
microsoft/computervision-recipes,2019-02-11T16:23:51Z,2025-01-24T06:51:56Z,267320,9596,1183
GetStream/Winds,2016-09-19T17:02:13Z,2025-01-23T21:03:07Z,61501,8920,638
keras-team/autokeras,2017-11-19T23:18:20Z,2025-01-22T08:09:20Z,45538,9185,1405
apache/tvm,2016-10-12T22:20:28Z,2025-01-24T15:27:24Z,107101,11950,3504
visenger/awesome-mlops,2020-03-03T11:37:19Z,2025-01-24T04:15:15Z,1429,12770,1895
ludwig-ai/ludwig,2018-12-27T23:58:12Z,2025-01-24T16:28:58Z,33289,11280,1198
tensorflow/tfjs-core,2017-08-02T14:45:47Z,2025-01-21T20:21:10Z,380006,8483,950
dair-ai/ML-YouTube-Courses,2021-06-25T09:39:16Z,2025-01-24T16:04:03Z,114,16195,1937
facebookarchive/caffe2,2015-06-25T18:23:47Z,2025-01-19T09:04:01Z,402293,8420,1938
Mikoto10032/DeepLearning,2018-04-09T15:53:37Z,2025-01-24T12:50:33Z,958284,15014,3642
Yorko/mlcourse.ai,2017-02-27T08:32:20Z,2025-01-23T17:31:02Z,635467,9880,5681
timzhang642/3D-Machine-Learning,2017-08-12T15:20:54Z,2025-01-24T15:47:50Z,24851,9851,1801
clips/pattern,2011-05-03T15:29:01Z,2025-01-22T13:40:55Z,52274,8762,1577
dotnet/machinelearning,2018-05-03T16:20:42Z,2025-01-24T13:15:37Z,101157,9098,1896
VowpalWabbit/vowpal_wabbit,2009-07-31T19:36:58Z,2025-01-23T15:26:22Z,164710,8518,1928
microsoft/DeepSpeed,2020-01-23T18:35:18Z,2025-01-24T16:35:15Z,222312,36347,4206
cortexlabs/cortex,2019-01-24T04:43:14Z,2025-01-23T21:06:30Z,11550,8024,608
apachecn/Interview,2017-10-13T09:57:07Z,2025-01-23T10:07:16Z,55464,8766,2181
iperov/DeepFaceLive,2020-12-15T12:19:22Z,2025-01-24T15:57:47Z,1540184,27445,205
kedro-org/kedro,2019-04-18T10:29:56Z,2025-01-24T11:47:36Z,233450,10129,916
pyro-ppl/pyro,2017-06-16T05:03:47Z,2025-01-24T14:09:49Z,95876,8636,983
deepmind/pysc2,2017-07-25T18:16:57Z,2025-01-23T21:12:19Z,4571,8057,1158
MorvanZhou/Reinforcement-learning-with-tensorflow,2017-05-06T03:01:31Z,2025-01-23T11:56:38Z,438,9033,5026
microsoft/onnxruntime,2018-11-10T02:22:53Z,2025-01-24T05:48:33Z,1316601,15372,3012
lanpa/tensorboardX,2017-06-13T13:54:19Z,2025-01-24T14:26:35Z,5843,7902,865
isl-org/Open3D,2016-12-02T16:40:38Z,2025-01-24T16:11:26Z,607714,11826,2366
aws/amazon-sagemaker-examples,2017-10-23T05:55:22Z,2025-01-24T00:02:31Z,662491,10251,6808
dair-ai/ml-visuals,2020-05-17T13:42:29Z,2025-01-24T13:10:48Z,141,14114,1416
deeplearning-ai/machine-learning-yearning-cn,2018-06-19T19:26:39Z,2025-01-23T07:57:23Z,15348,7759,1521
vaexio/vaex,2014-09-27T09:44:42Z,2025-01-23T16:24:24Z,139418,8328,595
OlafenwaMoses/ImageAI,2018-03-19T23:12:33Z,2025-01-23T18:12:52Z,63626,8697,2192
jackzhenguo/python-small-examples,2019-11-17T01:47:01Z,2025-01-23T01:15:46Z,5834,8011,1811
google/trax,2019-10-05T15:09:14Z,2025-01-23T02:38:00Z,169297,8148,822
kornia/kornia,2018-08-22T10:31:37Z,2025-01-24T14:43:47Z,80190,10163,984
datawhalechina/leeml-notes,2023-01-29T02:44:03Z,2024-11-20T14:08:22Z,6,19,2
MorvanZhou/PyTorch-Tutorial,2017-05-05T15:12:04Z,2025-01-23T01:58:29Z,15391,8203,3112
owainlewis/awesome-artificial-intelligence,2015-01-27T09:27:48Z,2025-01-24T13:50:12Z,280,11464,1914
PAIR-code/facets,2017-07-07T14:03:03Z,2025-01-23T21:24:38Z,23287,7359,885
alibaba/MNN,2019-04-15T07:40:18Z,2025-01-24T10:25:10Z,202532,8941,1698
lazyprogrammer/machine_learning_examples,2014-07-31T23:40:45Z,2025-01-23T10:33:02Z,23545,8466,6363
optuna/optuna,2018-02-21T06:12:56Z,2025-01-24T15:53:43Z,20355,11268,1053
wiseodd/generative-models,2016-12-07T11:28:16Z,2025-01-24T10:13:17Z,114,7369,2041
instillai/machine-learning-course,2019-02-15T00:23:19Z,2025-01-22T09:36:02Z,14140,7030,1259
guess-js/guess,2018-04-02T01:58:19Z,2025-01-23T13:53:48Z,13933,7071,203
nmap/nmap,2012-03-09T14:47:43Z,2025-01-24T10:42:51Z,111201,10499,2442
deepmind/lab,2016-11-30T13:41:26Z,2025-01-24T10:25:37Z,460126,7160,1369
catboost/catboost,2017-07-18T05:29:04Z,2025-01-24T06:58:17Z,1767598,8206,1201
doccano/doccano,2018-05-09T06:10:05Z,2025-01-24T12:39:26Z,57474,9721,1739
rasbt/python-machine-learning-book-2nd-edition,2017-02-09T05:45:15Z,2025-01-24T10:48:09Z,241207,7146,2821
Angel-ML/angel,2017-04-25T05:57:43Z,2025-01-24T03:17:56Z,93424,6752,1597
alexeygrigorev/data-science-interviews,2020-03-02T19:06:53Z,2025-01-24T14:08:45Z,1157,9125,2012
Jack-Cherish/Machine-Learning,2017-03-25T07:32:37Z,2025-01-24T11:55:42Z,1132,9334,5090
NirantK/awesome-project-ideas,2017-08-19T09:37:58Z,2025-01-24T11:52:10Z,113,8071,1238
yzhao062/anomaly-detection-resources,2018-05-16T20:02:54Z,2025-01-24T13:04:49Z,373,8528,1752
SerpentAI/SerpentAI,2017-04-16T21:48:39Z,2025-01-18T12:25:56Z,3859,6813,791
alteryx/featuretools,2017-09-08T22:15:17Z,2025-01-24T15:22:38Z,7620,7343,883
stanfordnlp/stanza,2017-09-26T08:00:56Z,2025-01-24T02:57:52Z,85928,7345,896
firmai/industry-machine-learning,2019-05-03T05:08:15Z,2025-01-22T13:51:05Z,3015,7291,1218
pycaret/pycaret,2019-11-23T18:40:48Z,2025-01-24T16:31:05Z,267648,9092,1787
dragen1860/TensorFlow-2.x-Tutorials,2019-01-30T03:00:09Z,2025-01-23T02:06:54Z,166873,6371,2230
tensorpack/tensorpack,2015-12-25T23:08:44Z,2025-01-23T05:47:36Z,9096,6302,1807
yzhao062/pyod,2017-10-03T20:29:04Z,2025-01-23T14:25:47Z,41250,8767,1386
gorse-io/gorse,2018-08-14T11:01:09Z,2025-01-24T08:36:28Z,11935,8721,801
poloclub/cnn-explainer,2019-11-03T23:15:24Z,2025-01-24T05:18:56Z,90398,8256,1247
liuruoze/EasyPR,2014-09-19T11:46:04Z,2025-01-23T09:09:25Z,195032,6371,2502
stefan-jansen/machine-learning-for-trading,2018-05-09T12:33:08Z,2025-01-24T15:48:45Z,683356,13933,4362
Hironsan/BossSensor,2016-07-04T06:09:59Z,2025-01-20T15:56:07Z,29659,6225,1084
PeterL1n/RobustVideoMatting,2021-08-30T20:57:44Z,2025-01-24T02:38:10Z,9193,8698,1144
unifyai/ivy,2021-01-19T08:37:25Z,2025-01-23T22:37:53Z,174249,14016,5696
drivendata/cookiecutter-data-science,2015-10-30T19:19:57Z,2025-01-24T13:23:13Z,1253,8509,2485
scikit-learn-contrib/imbalanced-learn,2014-08-16T05:08:26Z,2025-01-24T13:18:27Z,22671,6902,1291
tensorflow/swift,2018-04-24T19:18:14Z,2025-01-21T19:46:11Z,3627,6129,608
nfmcclure/tensorflow_cookbook,2016-06-10T13:23:57Z,2025-01-22T03:44:31Z,19794,6242,2412
microsoft/nlp-recipes,2019-04-05T17:42:41Z,2025-01-24T13:36:03Z,48731,6388,915
thtrieu/darkflow,2016-08-16T05:54:02Z,2025-01-21T08:48:12Z,33769,6136,2072
Netflix/metaflow,2019-09-17T17:48:25Z,2025-01-24T08:04:23Z,43917,8481,788
h2oai/h2o-3,2014-03-03T16:08:07Z,2025-01-24T14:41:14Z,625183,7005,2003
rushter/data-science-blogs,2015-08-05T11:58:14Z,2025-01-22T10:38:02Z,373,6336,1783
PeterL1n/BackgroundMattingV2,2020-12-01T00:26:17Z,2025-01-24T15:31:47Z,2873,6911,955
infinitered/nsfwjs,2019-02-13T15:06:31Z,2025-01-24T14:49:25Z,64624,8200,552
Swift-AI/Swift-AI,2015-11-19T23:43:18Z,2025-01-23T03:43:22Z,30117,6035,555
mrdbourke/machine-learning-roadmap,2020-07-09T07:07:47Z,2025-01-21T20:37:47Z,25983,7594,1176
deeppavlov/DeepPavlov,2017-11-17T14:35:29Z,2025-01-24T04:14:12Z,32677,6770,1155
dusty-nv/jetson-inference,2016-07-30T19:56:47Z,2025-01-24T04:58:05Z,155634,8069,3003
jacobgil/pytorch-grad-cam,2017-05-31T19:55:15Z,2025-01-24T15:29:45Z,140727,11015,1586
lmcinnes/umap,2017-07-02T01:11:17Z,2025-01-24T05:39:02Z,65924,7582,814
ml5js/ml5-library,2017-10-03T20:45:07Z,2025-01-24T14:36:33Z,381860,6511,903
chainer/chainer,2015-06-05T05:50:37Z,2025-01-22T21:30:29Z,53733,5894,1367
khangich/machine-learning-interview,2020-08-11T06:26:32Z,2025-01-24T14:37:19Z,5378,10185,1655
alan-turing-institute/sktime,2018-11-06T15:08:24Z,2025-01-24T16:25:59Z,79151,8135,1438
tensorflow/serving,2016-01-26T21:48:20Z,2025-01-24T02:30:59Z,19939,6217,2191
src-d/awesome-machine-learning-on-source-code,2017-06-20T13:35:45Z,2025-01-24T08:21:09Z,698,6295,840
dformoso/machine-learning-mindmap,2017-08-10T04:29:24Z,2025-01-20T22:35:57Z,15538,6151,1007
cleverhans-lab/cleverhans,2016-09-15T00:28:04Z,2025-01-22T16:26:47Z,9369,6233,1391
haifengl/smile,2014-11-20T16:28:12Z,2025-01-24T14:56:09Z,256549,6092,1136
tiny-dnn/tiny-dnn,2012-12-17T14:08:06Z,2025-01-23T02:04:30Z,25554,5875,1384
PRML/PRMLT,2012-09-10T08:19:18Z,2025-01-18T15:22:23Z,506,6044,2157
NicolasHug/Surprise,2016-10-23T14:59:38Z,2025-01-24T14:27:58Z,6977,6477,1018
